Work Item Type,Title 1,Title 2,Title 3,Title 4,State,Description,Acceptance Criteria,Priority,tags
Task,,,,Configure Azure DevOps for WhiteSource,New,"<a href=""https://github.com/microsoft/CSEDevSecOps/blob/master/Scenarios/DependencyContainerScanning/whitesource/WhiteSource-Dependency.md#configure-azure-devops"">Add WhiteSource to Azure DevOps</a> to automate as part of the CI workflow. <br> A <a href=""https://github.com/microsoft/CSEDevSecOps/tree/master/pipelines/DependencyScanning"">sample pipeline</a> has been provided by the CSE DevOps team as part of the Packaged Sprint.",,1,#DevSecOps; #PackagedSprint; #CSEDevOps;
User Story,,,Add Aqua Container Scanning,,New,"As an engineer I want to identify vulnerable images for the security of the projects containerized applications. The CSE-DevSecOps Packaged Sprint included <a href=""https://github.com/microsoft/CSEDevSecOps/tree/master/Scenarios/DependencyContainerScanning/aqua"">guidance</a> on how to automate this type of scan using AquaSec tools and extensions in Azure Devops. This story should be completed if my team has decided that AquaSec is a good fit for our project.","Associated tasks are completed in order: <ol><li>Request AquaSec Account</li> <li>Setup Aqua PreReqs</li><li>Prepare AquaSec</li><li>Integrate AquaSec with Azure Container Registry and Scan</li><li>Create the 3 required Service Connection in ADO</li><li>Configure ADO pipeline for leveraging Aqua</li><li>Complete additional steps for Windows, Self-Hosted Scanning</li></ol>",1,#DevSecOps; #PackagedSprint; #CSEDevOps;
Task,,,,Request AquaSec Account,New,"In order to use AquaSec in my CI/CD pipeline I first need to arrange an account with the AquaSec team. This process is initiate by contacting an AquaSec Rep. <br> Contact <a href=""mailto:tilaky@aquasec.com"">Tilak Yalamanchili</a> to inquire about licensing and get started.",,1,#DevSecOps; #PackagedSprint; #CSEDevOps;
Task,,,,Setup Aqua PreReqs,New,"In order to get going with AquaSec there are a few <a href=""https://github.com/microsoft/CSEDevSecOps/blob/master/Scenarios/DependencyContainerScanning/aqua/InstallAquaOnAKS.md#prerequistes"">pre-reqs</a> that must be completed.",,1,#DevSecOps; #PackagedSprint; #CSEDevOps;
Task,,,,Prepare AquaSec ,New,"<a href=""https://github.com/microsoft/CSEDevSecOps/blob/master/Scenarios/DependencyContainerScanning/aqua/InstallAquaOnAKS.md#prepare-your-aks-cluster-for-connecting-to-the-aqua-registry"">Prepare the AKS cluster</a> I created as a pre-req to work with AquaSec. <br> After preparing the cluster <a href=""https://github.com/microsoft/CSEDevSecOps/blob/master/Scenarios/DependencyContainerScanning/aqua/InstallAquaOnAKS.md#configure-the-aqua-security-dashboard"">retrieve the connection details for the AquaSec installation</a> and <a href=""https://github.com/microsoft/CSEDevSecOps/blob/master/Scenarios/DependencyContainerScanning/aqua/InstallAquaOnAKS.md#wrapping-up"">login to create a password</a>. ",,1,#DevSecOps; #PackagedSprint; #CSEDevOps;
Task,,,,Integrate AquaSec with Azure Container Registry and Scan,New,"Once I have an AquaSec installation (previous tasks) I can <a href=""https://github.com/microsoft/CSEDevSecOps/blob/master/Scenarios/DependencyContainerScanning/aqua/Aqua.md#configure-azure-container-registry-integration"">configure the integration between Aqua and my ACR</a>. Having established that connection I can <a href=""https://github.com/microsoft/CSEDevSecOps/blob/master/Scenarios/DependencyContainerScanning/aqua/Aqua.md#scan-acr-images"">proceed with an initial, manual scan of the images in my ACR</a>. Ultimately, it would be nice to exclude vulnerable images from ACR during CI but I need to start by identifying the vulnerabilities already out there. After completing the scan I can <a href=""https://github.com/microsoft/CSEDevSecOps/blob/master/Scenarios/DependencyContainerScanning/aqua/Aqua.md#review-scan-results"">review the results</a> to see where my currently available iamges have known vulnerabilites. ",,1,#DevSecOps; #PackagedSprint; #CSEDevOps;
Task,,,,Setup Aqua Assurance Policies,New,"Having previously setup Aqua and preformed an initial scan I can <a href=""https://github.com/microsoft/CSEDevSecOps/blob/master/Scenarios/DependencyContainerScanning/aqua/Aqua.md#configuring-assurance-policies"">add Assurance Policies</a> that will makes sure that I am not pushing additional vulnerabilities to my ACR.",,1,#DevSecOps; #PackagedSprint; #CSEDevOps;
Task,,,,Create the (3) required Service Connection for Aqua in ADO,New,"Before I can automate scanning of my new images and make sure that I am not making vulnerable images available downstream I need to create 3 service connections in Azure DevOps. <br> <ul><li><a href=""https://github.com/microsoft/CSEDevSecOps/blob/master/Scenarios/DependencyContainerScanning/aqua/Aqua.md#1-azure-container-registry-service-connection"">Azure Container Registry Service Connection</a></li><li><a href=""https://github.com/microsoft/CSEDevSecOps/blob/master/Scenarios/DependencyContainerScanning/aqua/Aqua.md#2-aqua-container-registry"">Aqua Container Registry Service Connection</a></li><li><a href=""https://github.com/microsoft/CSEDevSecOps/blob/master/Scenarios/DependencyContainerScanning/aqua/Aqua.md#3-aqua-management-console"">Aqua Management Console Service Connection</a></li></ul> ",,1,#DevSecOps; #PackagedSprint; #CSEDevOps;
Task,,,,Configure ADO pipeline for leveraging Aqua,New,"After all of the tasks for getting AquaSec container scanning setup have been completed I can <a href=""https://github.com/microsoft/CSEDevSecOps/blob/master/Scenarios/DependencyContainerScanning/aqua/Aqua.md#configure-the-aqua-task-in-a-ci-pipeline-in-azure-devops"">create a pipeline</a> that will allow automation of image scanning through branch policies in Azure DevOps. <br> A <a href="""">sample pipeline</a> has been provided by the CSE DevOps team as part of the Packaged Sprint to guide the creation.",,1,#DevSecOps; #PackagedSprint; #CSEDevOps;
Task,,,,"Complete additional steps for Windows, Self-Hosted Scanning",New,"<a href=""https://github.com/microsoft/CSEDevSecOps/blob/master/Scenarios/DependencyContainerScanning/aqua/Aqua.md#windows-container-scanning-with-ci-on-a-self-hosted-agent"">Additional steps for Windows</a> are required for setting up AquaSec scanning on Windows self-hosted agents for AzDO.",,1,#DevSecOps; #PackagedSprint; #CSEDevOps;
Feature,,Pentration Testing,,,New,"Penetration testing is a vital part of defensive security that can help to identify vulnerabilities and plan mitigation efforts. By shifting parts of this effort into the Dev(Sec)Ops, Pipeline teams can prevent many vulnerabilities from getting beyond the developer's arena, thereby ensuring more reliable and better performant systems with less downtime and easier maintenance. Information on this <a href=""https://github.com/microsoft/CSEDevSecOps/tree/master/Scenarios/PenetrationTesting"">scenario</a> has been provided by the CSE DevOps team as part of the DevSecOps Packaged sprint and a <a href=""https://github.com/microsoft/CSEDevSecOps/blob/package-sprints/pipelines/PenTesting/extensionPipeline.yml"">sample pipeline</a> has been provided.",,1,#DevSecOps; #PackagedSprint; #CSEDevOps;
User Story,,,Add OWASP ZAP Scanning,,New,As an engineer looking to improve the security of the teams application efforts I want to add quick feedback on easy to find security vulnerabilities that can be discovered through automated OWASP penetration testing.,Associated tasks are completed in order: <ol><li>Install the OWASP/ZAP extension</li><li>Create an Appropriate linux pipeline</li></ol>,1,#DevSecOps; #PackagedSprint; #CSEDevOps;
Task,,,,Install the OWASP/ZAP Extension,New,"Install the CSE-DevOps created <a href=""https://marketplace.visualstudio.com/items?itemName=CSE-DevOps.zap-scanner"">extension</a> into your organization.",,1,#DevSecOps; #PackagedSprint; #CSEDevOps;
Task,,,,Create an appropriate linux pipeline,New,"Create a pipeline following the <a href=""https://github.com/microsoft/CSEDevSecOps/blob/master/Scenarios/PenetrationTesting/Yml_Pipeline_Extension.md#create-a-pipeline-on-a-linux-agent-pool"">guidance</a> provided by the CSE DevOps team as part of the Packaged Sprint. The <a href=""https://github.com/microsoft/CSEDevSecOps/blob/package-sprints/Scenarios/PenetrationTesting/Yml_Pipeline_Extension.md#add-in-the-steps-to-run-the-owaspzap-scanner"">steps</a> for scanning are simple and an <a href=""https://github.com/microsoft/CSEDevSecOps/blob/package-sprints/pipelines/PenTesting/extensionPipeline.yml"">example pipeline</a> has been included in the packaged sprint materials.",,1,#DevSecOps; #PackagedSprint; #CSEDevOps;
Feature,,Static Code Analysis,,,New,"Static code analysis is a vital part of the journey to creating a secure project. Combined with good Code Review practices the automation of code analysis can help to identify code level issues that could lead to problems later downstream in a projects release cycle. The goal identified for the Packaged Sprint is to catch problems in an engineers contributions to source code before pull-request thereby improving the feedback time without disrupting the teams overall flow. Guidance provided by the CSE DevOps team for this security scenario can be found <a href=""https://github.com/microsoft/CSEDevSecOps/tree/package-sprints/Scenarios/StaticCodeAnalysis"">here</a>.",,1,#DevSecOps; #PackagedSprint; #CSEDevOps;
User Story,,,Add SonarCloud Code Analysis,,New,,,1,#DevSecOps; #PackagedSprint; #CSEDevOps;
Task,,,,Create a SonarCloud Account Connected to ADO,New,,,1,#DevSecOps; #PackagedSprint; #CSEDevOps;
Feature,,Enforce Org Security Policy,,,New,"Policy injection offers the opportunity to enforce policy during pipeline execution. In Azure Devops, policy is set at the organizational level. There are a number of scenarios and tools that can be used to enforce these policies. More information on these scenarios can be found <a href=""https://github.com/microsoft/CSEDevSecOps/tree/package-sprints/Scenarios/EnforceOrgSecurityPolicy"">here</a>.",,1,#DevSecOps; #PackagedSprint; #CSEDevOps;
,,,,,,,,,
